# ra (deg)
# ___ right ascension (J2000 decimal deg)
# dec (deg)
# ___ declination (J2000 decimal deg)
# err_maj (arcsec)
# ___ Semi-major axis length of the one sigma position uncertainty ellipse
# err_min (arcsec)
# ___ Semi-minor axis length of the one sigma position uncertainty ellipse
# err_ang (deg)
# ___ angle of error ellipse major axis (E of N)
# designation
# ___ source designation formed from sexigesimal coordinates
# j_m (mag)
# ___ J band selected "default" magnitude
# j_cmsig (mag)
# ___ corrected J band photometric uncertainty
# j_msigcom (mag)
# ___ combined (total) J band photometric uncertainty
# j_snr
# ___ J band "scan" signal-to-noise ratio
# h_m (mag)
# ___ H band selected "default" magnitude
# h_cmsig (mag)
# ___ corrected H band photometric uncertainty
# h_msigcom (mag)
# ___ combined (total) H band photometric uncertainty
# h_snr
# ___ H band "scan" signal-to-noise ratio
# k_m (mag)
# ___ K band selected "default" magnitude
# k_cmsig (mag)
# ___ corrected K band photometric uncertainty
# k_msigcom (mag)
# ___ combined (total) K band photometric uncertainty
# k_snr
# ___ K band "scan" signal-to-noise ratio
# ph_qual
# ___ flag indicating photometric quality of source
# rd_flg
# ___ source of JHK "default" mags (AKA "read flag")
# bl_flg
# ___ indicates # JHK components fit simultaneously to source
# cc_flg
# ___ indicates JHK artifact contamination and/or confusion
# ndet
# ___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
# gal_contam
# ___ flag indicating if src is contaminated by extended source
# mp_flg
# ___ src is positionally associated with an asteroid, comet, etc
# j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra dec Kp j h k
256.994504 -23.913021 9.95621401907885 8.202 7.66 7.496
257.142987 -23.939674 10.874311496495729 9.28 8.776 8.633
257.146224 -23.984592 11.455851745649586 10.614 10.518 10.426
257.328915 -23.977074 11.212432484786083 9.074 8.396 8.25
257.34523 -23.908173 9.13762998962419 7.508 7.007 6.847
257.390474 -24.031103 9.91433514929755 8.166 7.628 7.462
257.44722 -24.241249 10.907961784708919 9.059 8.508 8.322
257.50467 -23.864637 11.341744484929688 9.369 8.796 8.594
257.505878 -23.836399 11.079579797829439 10.04 9.819 9.751
257.511922 -24.149683 9.649597597233033 8.691 8.534 8.448
257.51416 -23.916506 10.533923550918876 9.864 9.762 9.743
257.517808 -24.109367 11.485429507440905 9.506 8.89 8.729
257.551471 -23.912966 11.381238953154796 9.582 8.981 8.861
257.563721 -24.206099 11.134518716998597 10.295 10.211 10.108
257.580633 -24.205322 10.830307802712998 8.675 8.03 7.846
257.618779 -24.23193 10.117744484929686 8.145 7.516 7.37
257.629637 -23.86142 11.404662049676629 10.334 10.084 10.025
257.635665 -24.236395 9.60382382653652 7.987 7.462 7.331
257.638722 -23.908251 10.629119997235538 9.725 9.599 9.509
257.662362 -24.372402 10.077164706269759 8.32 7.812 7.613
257.663497 -24.158087 11.404186720634879 10.414 10.201 10.154
257.664982 -24.347151 11.388936322715312 10.406 10.243 10.15
257.709403 -24.477713 11.285611988174061 10.283 10.071 10.016
257.713428 -24.126244 11.216833794374228 9.018 8.379 8.176
257.72727 -24.343752 10.783507953125 8.893 8.352 8.143
257.729571 -24.578957 11.346151536731465 10.255 9.953 9.932
257.798717 -24.16514 9.31297019439188 7.222 6.555 6.412
257.809105 -24.39188 11.378575326715863 10.392 10.166 10.134
257.81909 -24.109619 11.39331149649573 9.799 9.296 9.152
257.864054 -24.346909 11.122363973754435 10.297 10.153 10.116
257.871491 -24.283579 10.39576113633165 8.298 7.651 7.486
257.882223 -24.060865 9.411689833342336 7.594 7.009 6.867
257.967006 -24.589094 10.277100592966942 9.309 9.156 9.061
258.008716 -24.471588 11.423626860508456 9.37 8.739 8.571
258.011286 -24.472591 11.105297204569972 9.303 8.708 8.581
258.016822 -24.835293 11.27639590266133 10.191 9.926 9.872
258.056104 -24.181244 11.428253593139642 9.515 8.926 8.758
258.063335 -24.387051 11.409026131725527 10.151 9.809 9.696
258.109344 -24.560394 10.063649557583554 8.99 8.762 8.679
258.130953 -24.686735 11.17736907949873 9.731 9.303 9.152
258.16853 -24.639755 11.387000771935881 8.981 8.297 8.071
258.179495 -24.027874 10.450548034771167 8.124 7.434 7.242
258.181174 -24.224398 10.754114216121831 9.988 9.903 9.831
258.190359 -24.923798 10.13674542713088 9.363 9.268 9.203
258.205565 -24.943619 11.188418737769473 9.757 9.315 9.186
258.210519 -24.766443 9.344752270162477 7.67 7.132 6.992
258.215743 -23.961374 11.255320293108502 10.605 10.55 10.491
258.227926 -24.0536 11.3748275789338 9.51 8.941 8.768
258.303271 -24.736332 11.179836968039877 9.933 9.559 9.487
258.303463 -24.200949 11.388738460125001 9.787 9.28 9.137
258.312531 -24.018373 10.592452479565772 9.895 9.828 9.764
258.340526 -24.183096 11.39085718641864 10.39 10.202 10.124
258.365832 -23.871204 9.331664922300087 8.563 8.453 8.405
258.37543 -24.058781 11.157564156305213 10.11 9.896 9.816
258.416416 -24.970165 11.272551085754689 10.084 9.751 9.686
258.421999 -24.909281 10.243716817742687 9.27 9.108 9.019
258.425225 -24.647825 11.381289747636965 10.177 9.862 9.766
258.435192 -24.098791 10.854160433204676 9.785 9.566 9.477
258.441614 -24.052299 9.114160433204676 8.045 7.788 7.737
258.452279 -25.221825 9.778219343139842 8.098 7.546 7.418
258.464398 -24.99881 10.094481685038952 8.417 7.962 7.738
258.48356 -23.962645 10.243761615606907 8.075 7.428 7.242
258.486252 -24.273497 11.411044609250117 9.703 9.164 9.013
258.48773 -24.262978 11.489297204569965 9.687 9.111 8.965
258.523337 -24.268497 10.588410114080451 8.321 7.635 7.458
258.52405 -24.801043 10.76681398170112 9.652 9.43 9.312
258.569561 -24.376951 9.579425644127689 8.602 8.433 8.349
258.627565 -25.088404 11.375090903299341 10.066 9.7 9.572
258.643225 -24.877876 11.329995690665658 10.166 9.867 9.788
258.668825 -24.882872 10.597048742763373 9.658 9.503 9.425
258.673529 -25.246826 10.517532824668162 9.605 9.454 9.385
258.689693 -25.30514 10.132489207720326 9.05 8.802 8.733
258.708039 -25.431814 11.332362278064142 9.527 8.945 8.804
259.11847 -23.771666 9.905932846122335 9.019 8.885 8.811
259.15241 -24.220148 11.140825727844986 10.01 9.759 9.658
259.227912 -24.218552 11.273901744818886 9.989 9.606 9.513
259.253129 -25.137392 10.924775846650567 9.555 9.202 9.02
259.257282 -24.320969 9.3318275789338 7.467 6.892 6.725
259.277667 -24.338526 11.325327566777377 10.115 9.958 9.699
259.293013 -25.091629 11.267863220304687 8.737 8.005 7.762
259.31111 -24.586321 11.331943505223512 9.915 9.496 9.352
259.33256 -24.56399 10.137219966534499 9.032 8.832 8.699
259.365176 -24.280708 11.441028046410059 9.801 9.293 9.136
259.393164 -25.105177 9.31095586371203 8.364 8.209 8.127
259.403791 -26.06086 11.190040494972672 9.028 8.317 8.197
259.404794 -25.908232 11.31797907617939 10.272 10.037 9.979
259.4349 -23.876215 11.43782969212551 10.145 9.744 9.663
259.447322 -24.724722 10.41881398170112 9.304 9.097 8.964
259.457642 -24.847397 11.405912970581669 9.044 8.376 8.15
259.48841 -23.695955 11.448827156003839 10.424 10.279 10.144
259.536919 -24.433304 10.778694210434734 9.862 9.712 9.64
259.540562 -24.362324 10.20874285157532 8.996 8.684 8.578
259.54417 -23.68568 10.80147994230784 9.635 9.389 9.255
259.56187 -25.289942 10.777658595950818 9.605 9.306 9.22
259.562774 -24.788506 10.0243926724395 7.677 6.972 6.788
259.572621 -25.922884 10.087038160624589 9.027 8.842 8.725
259.633376 -24.339245 11.302943505223512 9.886 9.491 9.323
259.635428 -25.926311 10.90236459994152 10.089 9.912 9.913
259.641037 -23.820417 10.227239410701063 7.874 7.218 6.983
259.708421 -24.761255 11.168081583519157 10.023 9.791 9.66
259.708835 -25.821405 10.509095682484059 9.51 9.368 9.245
259.710281 -25.176973 9.46238813549154 8.418 8.238 8.126
259.724114 -23.705761 10.865387436175938 8.449 7.701 7.535
259.731363 -23.996851 9.118760430447338 8.435 8.262 8.309
259.746172 -24.01438 9.976973101526102 9.242 9.21 9.097
259.785919 -24.326111 10.303317571322879 9.039 8.783 8.579
259.807289 -24.503382 9.178238783184195 8.013 7.724 7.634
259.819211 -26.174103 10.600239410701064 8.247 7.621 7.356
259.871056 -26.20363 11.047486523006311 9.305 8.73 8.603
259.876673 -24.605001 11.49218672063488 10.502 10.308 10.242
259.882913 -25.81044 10.40552438216989 8.082 7.422 7.201
259.905044 -24.34234 11.085074178554883 9.162 8.614 8.402
259.910886 -25.033691 10.824340460765349 9.518 9.16 9.026
259.915098 -24.674694 11.490782222634436 9.41 8.81 8.603
259.937221 -26.377783 10.965061334207876 9.199 8.673 8.489
259.942139 -25.141521 11.00628942139528 8.522 7.826 7.578
259.979653 -25.955311 11.287806501897165 9.442 8.911 8.706
259.98165 -25.010075 11.481446 10.164 9.895 9.664
259.986181 -24.756603 11.077761615606914 8.909 8.242 8.076
259.986819 -24.839586 10.440791298866715 9.398 9.158 9.107
259.987191 -25.853758 11.477683088579328 9.441 8.803 8.647
259.996456 -25.07081 11.418849984363145 10.13 9.753 9.651
259.998774 -26.345318 11.330805905689013 10.482 10.365 10.291
260.031563 -23.901241 11.08978698321306 8.816 8.178 7.951
260.053301 -23.705984 11.33504583104084 10.234 9.947 9.904
260.054112 -25.895634 9.701401302195734 7.685 7.097 6.897
260.062488 -25.814316 10.722825727844986 9.592 9.295 9.24
260.077572 -23.92421 10.317497487285738 9.112 8.831 8.7
260.085704 -24.388222 11.374649557583554 10.301 10.08 9.99
260.099011 -24.134937 11.454238953154794 9.655 9.095 8.934
260.10569 -25.162983 11.418671310967058 10.148 9.792 9.683
260.122358 -24.099411 10.458489830627837 8.138 7.474 7.258
260.127867 -26.20295 10.581851745649585 9.74 9.616 9.552
260.155505 -24.935703 11.212774726816532 9.956 9.605 9.502
260.162586 -24.704744 9.089915479503052 7.442 6.917 6.774
260.189368 -23.737503 10.39353109124156 8.454 7.86 7.689
260.201404 -25.850574 10.126038160624592 9.066 8.846 8.764
260.210104 -25.969152 10.386158888796158 9.171 8.834 8.751
260.21288 -26.616854 10.047983570015118 8.767 8.432 8.294
260.214705 -25.87722 11.028713577935617 9.721 9.292 9.228
260.219194 -26.456831 10.07618267045716 8.626 8.221 8.045
